real_reit_name,ticker,corp_code,notes
SK리츠,395400.KS,,Real API Mode factual disclosure lookup target; no sample Risk Score assigned.
롯데리츠,330590.KS,,Real API Mode factual disclosure lookup target; no sample Risk Score assigned.
ESR켄달스퀘어리츠,365550.KS,,Real API Mode factual disclosure lookup target; no sample Risk Score assigned.
신한알파리츠,293940.KS,,Real API Mode factual disclosure lookup target; no sample Risk Score assigned.
제이알글로벌리츠,348950.KS,,Real API Mode factual disclosure lookup target; no sample Risk Score assigned.
코람코라이프인프라리츠,357120.KS,,Real API Mode factual disclosure lookup target; no sample Risk Score assigned.
